"id","data_hora","titulo","trecho","link"
1,2011-06-08 16:04:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de posse da ministra-chefe da Casa Civil da Presidência da República, Gleisi Hoffmann","A cerimônia ocorreu no Salão Oeste do Palácio do Planalto","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-posse-da-ministra-chefe-da-casa-civil-da-presidencia-da-republica-gleisi-hoffmann"
2,2011-06-08 16:30:00,"Discurso da Presidenta da República, Dilma Rousseff, na cerimônia de lançamento do Plano Estratégico de Fronteiras","Os objetivos centrais do Plano são a redução dos índices de criminalidade e o enfrentamento ao crime organizado por meio da atuação integrada das instituições dos ministérios da Justiça e da Defesa, além da cooperação com os países que fazem fronteira com o Brasil","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-lancamento-do-plano-estrategico-de-fronteiras"
3,2011-06-07 17:18:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de criação da Comissão e do Comitê Nacional de Organização da Conferência das Nações Unidas sobre o Desenvolvimento Sustentável","Na ocasião, a Presidenta Dilma assinou o decreto para instituir a comissão e o comitê, que inclui a criação da Assessoria Extraordinária para a Conferência","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-criacao-da-comissao-nacional-e-do-comite-nacional-de-organizacao-da-conferencia-das-nacoes-unidas-sobre-o-desenvolvimento-sustentavel-rio-20"
4,2011-06-06 17:31:00,"Declaração à imprensa da Presidenta da República, Dilma Rousseff, em conjunto com o presidente da Venezuela, Hugo Chávez","A declaração aconteceu no Salão Leste do Palácio do Planalto","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/declaracao-a-imprensa-da-presidenta-da-republica-dilma-rousseff-em-conjunto-com-o-presidente-da-venezuela-hugo-chavez"
5,2011-06-03 18:02:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de assinatura do chamamento público para reconstrução da região serrana do Rio de Janeiro","Na cerimônia, que acontece às 15h30, no Palácio Guanabara, a Presidenta assina o chamamento público para a construção de 6.874 empreendimentos na região, contratos para recuperação e reconstrução de 97 pontes e para a contenção de 66 encostas das áreas afetadas","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-assinatura-do-chamamento-publico-para-reconstrucao-dos-sete-municipios-da-regiao-serrana-atingidos-pelas-chuvas-de-janeiro-de-2011"
6,2011-06-03 18:43:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de batismo da Plataforma P-56","Na construção da plataforma foram investidos aproximadamente US$ 1,5 bilhão, e gerados 4 mil empregos diretos e 12 mil indiretos. A utilização de conteúdo nacional alcançou 72,9% e o casco foi totalmente construído no Brasil","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-cerimonia-de-batismo-da-plataforma-p-56"
7,2011-06-02 18:56:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de lançamento do Plano de Superação da Extrema Pobreza - Brasil sem Miséria","O Plano visa retirar 16,2 milhões de brasileiros da extrema pobreza, por meio de ações de transferência de renda, inclusão produtiva, e acesso a serviços públicos nas áreas de educação, saúde, assistência social, saneamento e energia elétrica","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-na-cerimonia-de-lancamento-do-plano-de-superacao-da-extrema-pobreza-2013-brasil-sem-miseria"
8,2011-05-30 12:04:00,"Declaração à imprensa da Presidenta da República, Dilma Rousseff, em conjunto com o Presidente da República do Uruguai, José Mujica","A declaração foi concedida no Palácio Santos em Montevidéu, no Uruguai","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/declaracao-a-imprensa-da-presidenta-da-republica-dilma-rousseff-em-conjunto-com-o-presidente-da-republica-oriental-do-uruguai-jose-mujica"
9,2011-05-26 12:19:00,"Discurso da Presidenta da República, Dilma Rousseff, durante cerimônia de assinatura de termos de compromisso para construção de quadras esportivas e unidades de educação infantil e doação de bicicletas","No mesmo evento, o programa do governo federal Caminho da Escola realiza a doação de 30 mil bicicletas e capacetes para crianças de diversos municípios brasileiros","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/dilma-rousseff-discursa-na-cerimonia-de-assinatura-de-termos-de-compromisso-para-construcao-de-quadras-esportivas-escolares-cobertas-e-unidades-de-educacao-infantil-do-pac-2-e-doacao-de-bicicletas-e-capacetes-escolares-do-programa-caminho-da-escola"
10,2011-05-17 15:58:00,"Discurso da Presidenta da República, Dilma Rousseff, durante almoço oferecido ao primeiro-ministro da Suécia, Fredrik Reinfeldt","O evento aconteceu no Palácio Itamaraty","http://www2.planalto.gov.br/acompanhe-o-planalto/discursos/discursos-da-presidenta/discurso-da-presidenta-da-republica-dilma-rousseff-durante-almoco-oferecido-ao-primeiro-ministro-da-suecia-fredrik-reinfeldt"
